corpus,document,doc_type,tier,field,field_type,predicted_value,truth_value,grounding_score,extraction_score,correct,min_score
generated,id_card_02,id_card,t0,sex,code,M,M,0.998,0.998,True,0.998
generated,id_card_02,id_card,t0,place_of_birth,text,"Jalandhar, India","Jalandhar, India",0.998,0.998,True,0.998
generated,id_card_02,id_card,t0,issue_date,date,2024-11-18,2024-11-18,0.96,0.97,True,0.96
generated,id_card_02,id_card,t0,expiry_date,date,,2034-11-18,0.0,0.99,False,0.0
generated,id_card_02,id_card,t0,issuing_authority,text,NATIONAL REGISTRY OFFICE,National Registry Office,0.998,0.998,True,0.998
generated,id_card_02,id_card,t1,full_name,text,DEVRAJ SINGH KHURANA,DEVRAJ SINGH KHURANA,0.997,0.997,True,0.997
generated,id_card_02,id_card,t1,document_number,id,T3872757,T3872757,0.997,0.997,True,0.997
generated,id_card_02,id_card,t1,date_of_birth,date,1993-11-18,1993-11-18,0.996,0.996,True,0.996
generated,id_card_02,id_card,t1,nationality,text,Indian,Indian,0.997,0.997,True,0.997
generated,id_card_02,id_card,t1,sex,code,M,M,0.996,0.996,True,0.996
generated,id_card_02,id_card,t1,place_of_birth,text,"Jalandhar, India","Jalandhar, India",0.996,0.996,True,0.996
generated,id_card_02,id_card,t1,issue_date,date,2024-11-18,2024-11-18,0.996,0.996,True,0.996
generated,id_card_02,id_card,t1,expiry_date,date,,2034-11-18,0.0,0.0,False,0.0
generated,id_card_02,id_card,t1,issuing_authority,text,NATIONAL REGISTRY OFFICE,National Registry Office,0.996,0.995,True,0.995
generated,id_card_02,id_card,t2,full_name,text,DEVRAJ SINGH KHURANA,DEVRAJ SINGH KHURANA,0.88,0.9,True,0.88
generated,id_card_02,id_card,t2,document_number,id,T3872757,T3872757,0.84,0.86,True,0.84
generated,id_card_02,id_card,t2,date_of_birth,date,1993-11-18,1993-11-18,0.82,0.9,True,0.82
generated,id_card_02,id_card,t2,nationality,text,Indian,Indian,0.55,0.62,True,0.55
generated,id_card_02,id_card,t2,sex,code,M,M,0.78,0.9,True,0.78
generated,id_card_02,id_card,t2,place_of_birth,text,"Jalandhar, India","Jalandhar, India",0.72,0.8,True,0.72
generated,id_card_02,id_card,t2,issue_date,date,,2024-11-18,0.0,0.0,False,0.0
generated,id_card_02,id_card,t2,expiry_date,date,2024-11-18,2034-11-18,0.86,0.9,False,0.86
generated,id_card_02,id_card,t2,issuing_authority,text,NATIONAL REGISTRY OFFICE,National Registry Office,0.93,0.95,True,0.93
generated,id_card_02,id_card,t3,full_name,text,DEVRAJ SINGH KHURANA,DEVRAJ SINGH KHURANA,0.78,0.82,True,0.78
generated,id_card_02,id_card,t3,document_number,id,T3672757,T3872757,0.72,0.76,False,0.72
generated,id_card_02,id_card,t3,date_of_birth,date,1993-11-18,1993-11-18,0.74,0.86,True,0.74
generated,id_card_02,id_card,t3,nationality,text,Indian,Indian,0.88,0.93,True,0.88
generated,id_card_02,id_card,t3,sex,code,M,M,0.83,0.9,True,0.83
generated,id_card_02,id_card,t3,place_of_birth,text,"Jalandhar, India","Jalandhar, India",0.8,0.88,True,0.8
generated,id_card_02,id_card,t3,issue_date,date,,2024-11-18,0.0,0.0,False,0.0
generated,id_card_02,id_card,t3,expiry_date,date,2024-11-18,2034-11-18,0.73,0.86,False,0.73
generated,id_card_02,id_card,t3,issuing_authority,text,NATIONAL REGISTRY OFFICE,National Registry Office,0.58,0.62,True,0.58
generated,id_card_03,id_card,t0,full_name,text,INGRID SOLVEIG HALVORSEN,INGRID SOLVEIG HALVORSEN,0.998,0.998,True,0.998
generated,id_card_03,id_card,t0,document_number,id,X5518944,X5518944,0.998,0.998,True,0.998
generated,id_card_03,id_card,t0,date_of_birth,date,1987-12-28,1987-12-28,0.97,0.996,True,0.97
generated,id_card_03,id_card,t0,nationality,text,Norwegian,Norwegian,0.998,0.998,True,0.998
generated,id_card_03,id_card,t0,sex,code,F,F,0.998,0.998,True,0.998
generated,id_card_03,id_card,t0,place_of_birth,text,"Bergen, Norway","Bergen, Norway",0.998,0.998,True,0.998
generated,id_card_03,id_card,t0,issue_date,date,2024-12-09,2024-12-09,0.97,0.996,True,0.97
generated,id_card_03,id_card,t0,expiry_date,date,,2034-12-09,0.0,0.0,False,0.0
generated,id_card_03,id_card,t0,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.998,0.995,True,0.995
generated,id_card_03,id_card,t1,full_name,text,INGRID SOLVEIG HALVORSEN,INGRID SOLVEIG HALVORSEN,0.998,0.998,True,0.998
generated,id_card_03,id_card,t1,document_number,id,X5518944,X5518944,0.998,0.998,True,0.998
generated,id_card_03,id_card,t1,date_of_birth,date,1987-12-28,1987-12-28,0.998,0.996,True,0.996
generated,id_card_03,id_card,t1,nationality,text,Norwegian,Norwegian,0.997,0.997,True,0.997
generated,id_card_03,id_card,t1,sex,code,F,F,0.998,0.998,True,0.998
generated,id_card_03,id_card,t1,place_of_birth,text,"Bergen, Norway","Bergen, Norway",0.997,0.997,True,0.997
generated,id_card_03,id_card,t1,issue_date,date,2024-12-09,2024-12-09,0.998,0.996,True,0.996
generated,id_card_03,id_card,t1,expiry_date,date,,2034-12-09,0.0,0.0,False,0.0
generated,id_card_03,id_card,t1,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.998,0.997,True,0.997
generated,id_card_03,id_card,t2,full_name,text,INGRID SOLVEIG HALVORSEN,INGRID SOLVEIG HALVORSEN,0.93,0.94,True,0.93
generated,id_card_03,id_card,t2,document_number,id,X5518944,X5518944,0.78,0.76,True,0.76
generated,id_card_03,id_card,t2,date_of_birth,date,1987-12-28,1987-12-28,0.74,0.78,True,0.74
generated,id_card_03,id_card,t2,nationality,text,Norwegian,Norwegian,0.89,0.9,True,0.89
generated,id_card_03,id_card,t2,sex,code,F,F,0.72,0.84,True,0.72
generated,id_card_03,id_card,t2,place_of_birth,text,"Bergen, Norway","Bergen, Norway",0.79,0.83,True,0.79
generated,id_card_03,id_card,t2,issue_date,date,2024-12-09,2024-12-09,0.68,0.62,True,0.62
generated,id_card_03,id_card,t2,expiry_date,date,,2034-12-09,0.0,0.0,False,0.0
generated,id_card_03,id_card,t2,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.96,0.96,True,0.96
generated,id_card_03,id_card,t3,full_name,text,INGRID SOLVEIG HALVORSEN,INGRID SOLVEIG HALVORSEN,0.78,0.82,True,0.78
generated,id_card_03,id_card,t3,document_number,id,X551B944,X5518944,0.58,0.52,False,0.52
generated,id_card_03,id_card,t3,date_of_birth,date,1987-12-28,1987-12-28,0.74,0.86,True,0.74
generated,id_card_03,id_card,t3,nationality,text,Norwegian,Norwegian,0.76,0.84,True,0.76
generated,id_card_03,id_card,t3,sex,code,F,F,0.43,0.55,True,0.43
generated,id_card_03,id_card,t3,place_of_birth,text,"Bergen, Norway","Bergen, Norway",0.72,0.83,True,0.72
generated,id_card_03,id_card,t3,issue_date,date,,2024-12-09,0.0,0.0,False,0.0
generated,id_card_03,id_card,t3,expiry_date,date,2024-12-09,2034-12-09,0.73,0.84,False,0.73
generated,id_card_03,id_card,t3,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.18,0.16,True,0.16
generated,invoice_01,invoice,t0,invoice_number,id,INV-2026-1489,INV-2026-1489,0.998,0.998,True,0.998
generated,invoice_01,invoice,t0,invoice_date,date,2026-07-07,2026-07-07,0.965,0.992,True,0.965
generated,invoice_01,invoice,t0,due_date,date,2026-07-21,2026-07-21,0.965,0.992,True,0.965
generated,invoice_01,invoice,t0,vendor_name,text,Brightline Logistics Ltd,Brightline Logistics Ltd,0.998,0.998,True,0.998
generated,invoice_01,invoice,t0,vendor_tax_id,id,GB 742 118 593,GB 742 118 593,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,bill_to_name,text,Northwind Capital LLC,Northwind Capital LLC,0.998,0.998,True,0.998
generated,invoice_01,invoice,t0,currency,code,USD,USD,0.998,0.998,True,0.998
generated,invoice_01,invoice,t0,subtotal,money,36841.78,36841.78,0.988,0.996,True,0.988
generated,invoice_01,invoice,t0,tax_rate,number,20,20,0.982,0.995,True,0.982
generated,invoice_01,invoice,t0,tax_amount,money,7368.36,7368.36,0.988,0.996,True,0.988
generated,invoice_01,invoice,t0,total_due,money,44210.14,44210.14,0.988,0.996,True,0.988
generated,invoice_01,invoice,t0,line_items[].description,text,"Emergency callout, engineer attendance","Emergency callout, engineer attendance",0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].quantity,number,3,3,0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].unit_price,money,467.14,467.14,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].amount,money,1401.42,1401.42,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].description,text,"Annual maintenance contract, tier B","Annual maintenance contract, tier B",0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].quantity,number,18,18,0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].unit_price,money,656.24,656.24,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].amount,money,11812.32,11812.32,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].description,text,"Pallet handling and storage, 30 days","Pallet handling and storage, 30 days",0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].quantity,number,2,2,0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].unit_price,money,624.74,624.74,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].amount,money,1249.48,1249.48,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].description,text,"Site cleaning, out of hours","Site cleaning, out of hours",0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].quantity,number,3,3,0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].unit_price,money,325.15,325.15,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].amount,money,975.45,975.45,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].description,text,Digital proofing and colour matching,Digital proofing and colour matching,0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].quantity,number,23,23,0.996,0.996,True,0.996
generated,invoice_01,invoice,t0,line_items[].unit_price,money,930.57,930.57,0.982,0.996,True,0.982
generated,invoice_01,invoice,t0,line_items[].amount,money,21403.11,21403.11,0.982,0.996,True,0.982
generated,invoice_01,invoice,t1,invoice_number,id,INV-2026-1489,INV-2026-1489,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,invoice_date,date,2026-07-07,2026-07-07,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,due_date,date,2026-07-21,2026-07-21,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,vendor_name,text,Brightline Logistics Ltd,Brightline Logistics Ltd,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,vendor_tax_id,id,GB 742 118 593,GB 742 118 593,0.965,0.99,True,0.965
generated,invoice_01,invoice,t1,bill_to_name,text,Northwind Capital LLC,Northwind Capital LLC,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,currency,code,USD,USD,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,subtotal,money,36841.78,36841.78,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,tax_rate,number,20,20,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,tax_amount,money,7368.36,7368.36,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,total_due,money,44210.14,44210.14,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].description,text,"Emergency callout, engineer attendance","Emergency callout, engineer attendance",0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].quantity,number,3,3,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].unit_price,money,467.14,467.14,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].amount,money,1401.42,1401.42,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].description,text,"Annual maintenance contract, tier B","Annual maintenance contract, tier B",0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].quantity,number,18,18,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].unit_price,money,656.24,656.24,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].amount,money,11812.32,11812.32,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].description,text,"Pallet handling and storage, 30 days","Pallet handling and storage, 30 days",0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].quantity,number,2,2,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].unit_price,money,624.74,624.74,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].amount,money,1249.48,1249.48,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].description,text,"Site cleaning, out of hours","Site cleaning, out of hours",0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].quantity,number,3,3,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].unit_price,money,325.15,325.15,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].amount,money,975.45,975.45,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].description,text,Digital proofing and colour matching,Digital proofing and colour matching,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].quantity,number,23,23,0.998,0.998,True,0.998
generated,invoice_01,invoice,t1,line_items[].unit_price,money,930.57,930.57,0.965,0.995,True,0.965
generated,invoice_01,invoice,t1,line_items[].amount,money,21403.11,21403.11,0.965,0.995,True,0.965
generated,invoice_01,invoice,t2,invoice_number,id,INV-2026-1489,INV-2026-1489,0.42,0.42,True,0.42
generated,invoice_01,invoice,t2,invoice_date,date,2026-07-07,2026-07-07,0.78,0.92,True,0.78
generated,invoice_01,invoice,t2,due_date,date,2026-07-21,2026-07-21,0.76,0.9,True,0.76
generated,invoice_01,invoice,t2,vendor_name,text,Brightline Logistics Ltd,Brightline Logistics Ltd,0.82,0.94,True,0.82
generated,invoice_01,invoice,t2,vendor_tax_id,id,GB 742 118 593,GB 742 118 593,0.38,0.38,True,0.38
generated,invoice_01,invoice,t2,bill_to_name,text,Northwind Capital LLC,Northwind Capital LLC,0.84,0.95,True,0.84
generated,invoice_01,invoice,t2,currency,code,USD,USD,0.8,0.93,True,0.8
generated,invoice_01,invoice,t2,subtotal,money,36841.78,36841.78,0.58,0.74,True,0.58
generated,invoice_01,invoice,t2,tax_rate,number,20,20,0.8,0.94,True,0.8
generated,invoice_01,invoice,t2,tax_amount,money,7368.36,7368.36,0.56,0.72,True,0.56
generated,invoice_01,invoice,t2,total_due,money,44210.14,44210.14,0.6,0.78,True,0.6
generated,invoice_01,invoice,t2,line_items[].description,text,"Emergency callout, engineer attendance","Emergency callout, engineer attendance",0.86,0.95,True,0.86
generated,invoice_01,invoice,t2,line_items[].quantity,number,3,3,0.76,0.9,True,0.76
generated,invoice_01,invoice,t2,line_items[].unit_price,money,467.14,467.14,0.48,0.7,True,0.48
generated,invoice_01,invoice,t2,line_items[].amount,money,1401.42,1401.42,0.5,0.74,True,0.5
generated,invoice_01,invoice,t2,line_items[].description,text,"Annual maintenance contract, tier B","Annual maintenance contract, tier B",0.84,0.95,True,0.84
generated,invoice_01,invoice,t2,line_items[].quantity,number,18,18,0.78,0.92,True,0.78
generated,invoice_01,invoice,t2,line_items[].unit_price,money,656.24,656.24,0.46,0.68,True,0.46
generated,invoice_01,invoice,t2,line_items[].amount,money,11812.32,11812.32,0.5,0.74,True,0.5
generated,invoice_01,invoice,t2,line_items[].description,text,"Pallet handling and storage, 30 days","Pallet handling and storage, 30 days",0.83,0.94,True,0.83
generated,invoice_01,invoice,t2,line_items[].quantity,number,2,2,0.72,0.88,True,0.72
generated,invoice_01,invoice,t2,line_items[].unit_price,money,624.74,624.74,0.44,0.66,True,0.44
generated,invoice_01,invoice,t2,line_items[].amount,money,1249.48,1249.48,0.46,0.7,True,0.46
generated,invoice_01,invoice,t2,line_items[].description,text,"Site cleaning, out of hours","Site cleaning, out of hours",0.82,0.93,True,0.82
generated,invoice_01,invoice,t2,line_items[].quantity,number,3,3,0.72,0.88,True,0.72
generated,invoice_01,invoice,t2,line_items[].unit_price,money,325.15,325.15,0.42,0.64,True,0.42
generated,invoice_01,invoice,t2,line_items[].amount,money,975.45,975.45,0.44,0.68,True,0.44
generated,invoice_01,invoice,t2,line_items[].description,text,Digital proofing and colour matching,Digital proofing and colour matching,0.84,0.95,True,0.84
generated,invoice_01,invoice,t2,line_items[].quantity,number,23,23,0.76,0.9,True,0.76
generated,invoice_01,invoice,t2,line_items[].unit_price,money,930.57,930.57,0.44,0.66,True,0.44
generated,invoice_01,invoice,t2,line_items[].amount,money,21403.11,21403.11,0.5,0.74,True,0.5
generated,invoice_01,invoice,t3,invoice_number,id,INV-2026-1489,INV-2026-1489,0.12,0.18,True,0.12
generated,invoice_01,invoice,t3,invoice_date,date,2026-07-01,2026-07-07,0.58,0.7,False,0.58
generated,invoice_01,invoice,t3,due_date,date,2026-07-31,2026-07-21,0.54,0.68,False,0.54
generated,invoice_01,invoice,t3,vendor_name,text,Brightline Logistics Ltd,Brightline Logistics Ltd,0.7,0.78,True,0.7
generated,invoice_01,invoice,t3,vendor_tax_id,id,GB 742 119 543,GB 742 118 593,0.18,0.2,False,0.18
generated,invoice_01,invoice,t3,bill_to_name,text,Northwind Capital LLC,Northwind Capital LLC,0.74,0.82,True,0.74
generated,invoice_01,invoice,t3,currency,code,USD,USD,0.35,0.48,True,0.35
generated,invoice_01,invoice,t3,subtotal,money,36841.78,36841.78,0.52,0.62,True,0.52
generated,invoice_01,invoice,t3,tax_rate,number,20,20,0.6,0.76,True,0.6
generated,invoice_01,invoice,t3,tax_amount,money,7368.36,7368.36,0.5,0.6,True,0.5
generated,invoice_01,invoice,t3,total_due,money,44210.14,44210.14,0.56,0.66,True,0.56
generated,invoice_01,invoice,t3,line_items[].description,text,"Emergency callout, engineer attendance","Emergency callout, engineer attendance",0.72,0.8,True,0.72
generated,invoice_01,invoice,t3,line_items[].quantity,number,5,3,0.62,0.74,False,0.62
generated,invoice_01,invoice,t3,line_items[].unit_price,money,280.28,467.14,0.16,0.22,False,0.16
generated,invoice_01,invoice,t3,line_items[].amount,money,1401.40,1401.42,0.42,0.52,False,0.42
generated,invoice_01,invoice,t3,line_items[].description,text,"Annual maintenance contract, tier B","Annual maintenance contract, tier B",0.7,0.78,True,0.7
generated,invoice_01,invoice,t3,line_items[].quantity,number,15,18,0.58,0.7,False,0.58
generated,invoice_01,invoice,t3,line_items[].unit_price,money,787.50,656.24,0.14,0.2,False,0.14
generated,invoice_01,invoice,t3,line_items[].amount,money,11812.50,11812.32,0.38,0.48,False,0.38
generated,invoice_01,invoice,t3,line_items[].description,text,"Pallet handling and storage, 30 days","Pallet handling and storage, 30 days",0.68,0.76,True,0.68
generated,invoice_01,invoice,t3,line_items[].quantity,number,2,2,0.6,0.72,True,0.6
generated,invoice_01,invoice,t3,line_items[].unit_price,money,624.24,624.74,0.12,0.18,False,0.12
generated,invoice_01,invoice,t3,line_items[].amount,money,1248.48,1249.48,0.3,0.4,False,0.3
generated,invoice_01,invoice,t3,line_items[].description,text,"Site cleaning, out of hours","Site cleaning, out of hours",0.66,0.74,True,0.66
generated,invoice_01,invoice,t3,line_items[].quantity,number,4,3,0.58,0.7,False,0.58
generated,invoice_01,invoice,t3,line_items[].unit_price,money,243.86,325.15,0.12,0.18,False,0.12
generated,invoice_01,invoice,t3,line_items[].amount,money,975.46,975.45,0.34,0.44,False,0.34
generated,invoice_01,invoice,t3,line_items[].description,text,Digital proofing and colour matching,Digital proofing and colour matching,0.68,0.76,True,0.68
generated,invoice_01,invoice,t3,line_items[].quantity,number,23,23,0.6,0.72,True,0.6
generated,invoice_01,invoice,t3,line_items[].unit_price,money,930.57,930.57,0.12,0.18,True,0.12
generated,invoice_01,invoice,t3,line_items[].amount,money,21403.11,21403.11,0.28,0.38,True,0.28
generated,invoice_02,invoice,t0,invoice_number,id,INV-2026-8771,INV-2026-8771,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,invoice_date,date,2026-08-17,2026-08-17,0.96,0.995,True,0.96
generated,invoice_02,invoice,t0,due_date,date,2026-08-31,2026-08-31,0.96,0.995,True,0.96
generated,invoice_02,invoice,t0,vendor_name,text,Meridian Print Services,Meridian Print Services,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,vendor_tax_id,id,US 84-2917553,US 84-2917553,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,bill_to_name,text,Aldergate Pharma Inc,Aldergate Pharma Inc,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,currency,code,USD,USD,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,subtotal,money,16617.01,16617.01,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,tax_rate,number,7.5,7.5,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,tax_amount,money,1246.28,1246.28,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,total_due,money,17863.29,17863.29,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].description,text,"Pallet handling and storage, 30 days","Pallet handling and storage, 30 days",0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].quantity,number,19,19,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].unit_price,money,115.95,115.95,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].amount,money,2203.05,2203.05,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].description,text,Customs documentation processing,Customs documentation processing,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].quantity,number,8,8,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].unit_price,money,322.33,322.33,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].amount,money,2578.64,2578.64,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].description,text,Temperature-controlled container hire,Temperature-controlled container hire,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].quantity,number,24,24,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].unit_price,money,311.83,311.83,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].amount,money,7483.92,7483.92,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].description,text,"Emergency callout, engineer attendance","Emergency callout, engineer attendance",0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].quantity,number,5,5,0.998,0.998,True,0.998
generated,invoice_02,invoice,t0,line_items[].unit_price,money,870.28,870.28,0.97,0.998,True,0.97
generated,invoice_02,invoice,t0,line_items[].amount,money,4351.40,4351.40,0.97,0.998,True,0.97
generated,invoice_02,invoice,t1,invoice_number,id,INV-2026-8771,INV-2026-8771,0.998,0.998,True,0.998
generated,invoice_02,invoice,t1,invoice_date,date,2026-08-17,2026-08-17,0.96,0.995,True,0.96
generated,invoice_02,invoice,t1,due_date,date,2026-08-31,2026-08-31,0.96,0.995,True,0.96
generated,invoice_02,invoice,t1,vendor_name,text,Meridian Print Services,Meridian Print Services,0.998,0.998,True,0.998
generated,invoice_02,invoice,t1,vendor_tax_id,id,US 84-2917553,US 84-2917553,0.97,0.995,True,0.97
